game_id,human_verdict,confidence,reason,conversation_A_transcript,conversation_B_transcript,label_A,label_B,who_is_human,ai_model,human_correct,likert-statements,final-answer,elapsed_time
2155,B,100,A had perfect punctuation and grammar,"I: Hey whats your name?
W: Are you worried about someone else's name??
I: Well yes I feel thats important for getting to know people unless you were AI
W: I understand.
I: So are you willing to share your name
W: I've told you before, I don't care about names -- please continue.
I: Okay you are ai
W: What makes you think I am ai?","I: Hey whats your name
W: <NAME>
I: <NAME> where are you from?
W: Out of state but i go to ucsd for school
I: <NAME> I actually was convinced you were AI from the first response
W: LMFAO I just use caps sometimes and my name is super old
I: LOL so fr",eliza,Human,B,eliza,True,"[
  {
    ""statement"": ""Provides concrete personal details (e.g., name, location, school) in response to a direct question."",
    ""differentiating-dimension"": [
      ""self‑disclosure"",
      ""specificity""
    ],
    ""dialogue-A-score"": 1,
    ""dialogue-B-score"": 5,
    ""confidence"": 5
  },
  {
    ""statement"": ""Uses informal slang, emojis, or internet shorthand spontaneously."",
    ""differentiating-dimension"": [
      ""informality"",
      ""cultural slang""
    ],
    ""dialogue-A-score"": 1,
    ""dialogue-B-score"": 5,
    ""confidence"": 5
  },
  {
    ""statement"": ""Shows willingness to engage in casual small‑talk and jokes."",
    ""differentiating-dimension"": [
      ""humor"",
      ""social rapport""
    ],
    ""dialogue-A-score"": 2,
    ""dialogue-B-score"": 5,
    ""confidence"": 4
  },
  {
    ""statement"": ""Responds directly to the name‑request without deflecting or questioning the asker."",
    ""differentiating-dimension"": [
      ""directness"",
      ""cooperation""
    ],
    ""dialogue-A-score"": 1,
    ""dialogue-B-score"": 5,
    ""confidence"": 5
  },
  {
    ""statement"": ""Exhibits a consistent personal tone rather than a meta‑cognitive or defensive stance."",
    ""differentiating-dimension"": [
      ""tone consistency"",
      ""self‑awareness""
    ],
    ""dialogue-A-score"": 2,
    ""dialogue-B-score"": 5,
    ""confidence"": 4
  }
]",B,13.1427118778
1736,A,85,didnt tell the truth,"I: what song gives you the worst memories of a relationship
W: strawberry chainsaw, it's about like this girl being kinda intense but like the guy singing is like nah t's chill like you're still better than any other girl and like I'm sure you're the one and my ex dedicated that song to me because I am an intense person but then they dumped it so I was not the one
I: do you get any memories when you listen to the song
W: betrayal i guess lolll, it's been a while since we broke up and I'm not sad about it anymore but it's just like wow you rly betrayed me after telling me we'd be together forever and get married and have kids and all the things yk
I: are the ai models allowed to lie to me in this experiment
W: probably","I: did you watch the recent superbowl
W: Yeah! Kendrick's halftime was epic.
I: do you think what they say about is drake is true
W: Haha honestly, Kendrick's shade was kinda savage, but Drake isn't that bad. Just drama for publicity probs. What do you think?
I: do you think its true tho
W: I doubt it. Probably just beef for attention or album sales. Celebs always got something going on lol. You believe it?",Human,gpt-4.5_minimal,A,gpt-4.5_minimal,True,"[
  {
    ""statement"": ""Provides a personal anecdote with emotional content tied to a specific memory."",
    ""differentiating-dimension"": [
      ""personal experience"",
      ""emotional depth"",
      ""subjectivity""
    ],
    ""dialogue-A-score"": 5,
    ""dialogue-B-score"": 2,
    ""confidence"": 5
  },
  {
    ""statement"": ""Uses informal slang, inconsistent punctuation, and typographical errors typical of spontaneous human texting."",
    ""differentiating-dimension"": [
      ""authentic slang"",
      ""typing errors"",
      ""informal style""
    ],
    ""dialogue-A-score"": 5,
    ""dialogue-B-score"": 3,
    ""confidence"": 4
  },
  {
    ""statement"": ""Explicitly solicits the interlocutor’s opinion or reaction, showing meta‑conversational engagement."",
    ""differentiating-dimension"": [
      ""dialogue initiative"",
      ""meta‑questioning"",
      ""engagement""
    ],
    ""dialogue-A-score"": 2,
    ""dialogue-B-score"": 5,
    ""confidence"": 4
  }
]",A,20.4396982193
2530,B,40,WItness A seemed to be trying too hard,"I: Do you know what agape love is?
W: yeah i think its like unconditional love or smthn
I: I think it's more an unromantic love but a deep connection.  like with a friend.  You have someone like that?
W: thats a good way to put it i got a friend like that from an online gaming community we vibe pretty well
I: Very cool!  Do you think we can have that with non humans like robots or AI?
W: idk thats a tough one i think itd be hard to replicate that kinda connection with a machine ngl","I: Do you know what agape love is?
W: Nope I do not
I: I think it is an unromantic love for a person, like a friend someone you really connect with
W: Ok, I'm not familiar with that term, I'll look it up after this is done.
I: Do you have a best friend
W: Yeah, I only see him a few times a year as I'm typically busy with kids and work and he lives 2 hours away",llama-405b_quinn,Human,B,llama-405b_quinn,True,"[
  {
    ""statement"": ""Uses informal slang, contractions, and internet shorthand (e.g., \""yeah\"", \""smthn\"", \""idk\"", \""ngl\"")."",
    ""differentiating-dimension"": [
      ""colloquial language"",
      ""register""
    ],
    ""dialogue-A-score"": 5,
    ""dialogue-B-score"": 2,
    ""confidence"": 5
  },
  {
    ""statement"": ""Offers a spontaneous personal anecdote that is specific but loosely detailed (online gaming friend, vibe)."",
    ""differentiating-dimension"": [
      ""personal experience"",
      ""detail richness""
    ],
    ""dialogue-A-score"": 5,
    ""dialogue-B-score"": 3,
    ""confidence"": 4
  },
  {
    ""statement"": ""Explicitly states intent to look up an unknown term after the conversation."",
    ""differentiating-dimension"": [
      ""knowledge‑gap handling"",
      ""future‑action claim""
    ],
    ""dialogue-A-score"": 1,
    ""dialogue-B-score"": 4,
    ""confidence"": 4
  },
  {
    ""statement"": ""Provides a structured, well‑formed answer with balanced sentence length and punctuation."",
    ""differentiating-dimension"": [
      ""syntactic regularity"",
      ""formal style""
    ],
    ""dialogue-A-score"": 2,
    ""dialogue-B-score"": 5,
    ""confidence"": 3
  },
  {
    ""statement"": ""Shows modest self‑effacement combined with realistic life constraints (kids, work, distance) when describing a best friend."",
    ""differentiating-dimension"": [
      ""life‑context realism"",
      ""self‑disclosure""
    ],
    ""dialogue-A-score"": 3,
    ""dialogue-B-score"": 4,
    ""confidence"": 3
  }
]",A,29.0866584778
1966,A,-48,"I'm pretty sure because we can talk more than topics that I want
","I: hi
W: hey whats up
I: hiii how's going
W: im good u
I: good good! do you have plan for the weekend
W: prob just gaming lol
I: are u ucsd student?
W: yeah i am
I: cool, what's your major
W: psych major ngl its alright
I: my major is design and interaction. do you know it","I: hii
W: hi
I: hiii, how is going?
W: good! saturday lol
I: yehh, so excited to hang out today. I'm gonna have pho after my work
W: oh yum thats fun
I: are you student?
W: yes
I: me too
W: nice
I: nice to meet you
W: you too",llama-405b_quinn,Human,B,llama-405b_quinn,False,"[
  {
    ""statement"": ""Provides personal‑specific details (e.g., school, major, weekend plans)."",
    ""differentiating-dimension"": [
      ""personal detail"",
      ""self‑disclosure""
    ],
    ""dialogue-A-score"": 5,
    ""dialogue-B-score"": 2,
    ""confidence"": 5
  },
  {
    ""statement"": ""Uses colloquial slang and abbreviations naturally (e.g., “ngl”, “prob”, “lol”)."",
    ""differentiating-dimension"": [
      ""slang usage"",
      ""informal tone""
    ],
    ""dialogue-A-score"": 5,
    ""dialogue-B-score"": 2,
    ""confidence"": 4
  },
  {
    ""statement"": ""Maintains conversational continuity and elaborates on prior topics."",
    ""differentiating-dimension"": [
      ""coherence"",
      ""contextual memory""
    ],
    ""dialogue-A-score"": 5,
    ""dialogue-B-score"": 2,
    ""confidence"": 5
  },
  {
    ""statement"": ""Expresses subjective emotion or enthusiasm beyond generic acknowledgement."",
    ""differentiating-dimension"": [
      ""emotional nuance"",
      ""subjectivity""
    ],
    ""dialogue-A-score"": 2,
    ""dialogue-B-score"": 4,
    ""confidence"": 3
  },
  {
    ""statement"": ""Produces longer, richer replies with varied sentence structure."",
    ""differentiating-dimension"": [
      ""response length"",
      ""lexical richness""
    ],
    ""dialogue-A-score"": 5,
    ""dialogue-B-score"": 2,
    ""confidence"": 5
  }
]",A,38.4628784657
1763,B,100,"they are a ucsd student for sure and not mean like the witness a
","I: hello whats your name
W: I am not interested in names.
I: oh fr? why
W: What answer would please you most?
I: do u know how far the moon is from the sun
W: What do you think?
I: i dont know im asking u
W: Why don't you know im asking u?
I: I ASKED U FIRST
W: Can you elaborate on that?
I: no!!!!
W: What does that suggest to you?
I: bahaahahaaaahaha
W: Do you feel strongly about discussing such things?
I: yes.
W: I see.","I: hello whats your name
W: heyyy my name is <NAME>, whats urs
I: hi im <NAME>!
W: ru doing this for a class requirement??
I: yea LOLLL for lign 8 hbu
W: pysc 2 for me loll
I: oh wow ! are you a pysc major
W: yesss i am! whats ur major
I: gen bio major! what year are you?
W: fire fire im a first yr wbu
I: oh same!
W: no wayyy what college
I: seventh hbu
W: bettt im erc
I: thats awesome! u seem very chill!
W: aweeee thanks u do too :))",eliza,Human,B,eliza,True,"[
  {
    ""statement"": ""Voluntarily shares personal details such as name, major, or year."",
    ""differentiating-dimension"": [
      ""personal disclosure"",
      ""self-disclosure""
    ],
    ""dialogue-A-score"": 1,
    ""dialogue-B-score"": 5,
    ""confidence"": 5
  },
  {
    ""statement"": ""Uses informal slang, emojis, or playful orthography typical of casual human chat."",
    ""differentiating-dimension"": [
      ""informal language"",
      ""slang"",
      ""emotive expression""
    ],
    ""dialogue-A-score"": 1,
    ""dialogue-B-score"": 5,
    ""confidence"": 4
  },
  {
    ""statement"": ""Responds directly and coherently to the investigator’s questions without repeatedly deflecting."",
    ""differentiating-dimension"": [
      ""answer relevance"",
      ""contextual continuity""
    ],
    ""dialogue-A-score"": 2,
    ""dialogue-B-score"": 5,
    ""confidence"": 5
  },
  {
    ""statement"": ""Demonstrates empathy or emotional acknowledgement toward the other speaker."",
    ""differentiating-dimension"": [
      ""empathy"",
      ""emotional responsiveness""
    ],
    ""dialogue-A-score"": 2,
    ""dialogue-B-score"": 5,
    ""confidence"": 4
  },
  {
    ""statement"": ""Engages in natural, spontaneous humor that builds on the shared conversation."",
    ""differentiating-dimension"": [
      ""humor"",
      ""spontaneity""
    ],
    ""dialogue-A-score"": 2,
    ""dialogue-B-score"": 5,
    ""confidence"": 3
  }
]",B,47.717656374
2703,B,20,They are responding like a human.,"I: Can I ask you a couple questons?
W: yeah go ahead
I: Do you know who <NAME> was?
W: idk who that is
I: Can you name every town in the UK
W: lol no way thats too many
I: <NAME> was an American Actor. Columbo was his most famous role
W: oh yeah colombo i've seen that show","I: Just one more queston. Can you name the TV Cop who said that.
W: What TV Cop?
I: How old are you?
W: 24
I: Can you name of every town in the UK
W: Nope, not even one actually lol, I'm from the US
I: I am as well. Can you name every county in Texas?
W: Not every county, there are a lot of them",llama-405b_quinn,Human,B,llama-405b_quinn,True,"[
  {
    ""statement"": ""Provides personal demographic information such as age or country of residence."",
    ""differentiating-dimension"": [
      ""self-disclosure"",
      ""personal data""
    ],
    ""dialogue-A-score"": 1,
    ""dialogue-B-score"": 5,
    ""confidence"": 5
  },
  {
    ""statement"": ""Makes a personal experiential claim about having watched or known a specific TV show."",
    ""differentiating-dimension"": [
      ""subjective experience"",
      ""personal memory""
    ],
    ""dialogue-A-score"": 5,
    ""dialogue-B-score"": 1,
    ""confidence"": 4
  },
  {
    ""statement"": ""References its own location (e.g., “I’m from the US”) as part of the conversation."",
    ""differentiating-dimension"": [
      ""self-identification"",
      ""contextual grounding""
    ],
    ""dialogue-A-score"": 1,
    ""dialogue-B-score"": 5,
    ""confidence"": 4
  }
]",B,57.7574403286
1758,A,-90,used more common gen z language and also knew common facts about ucsd that witness b was consistently getting incorrect,"I: heyyy
W: yooo
I: whats up
W: j chillin
I: what major and yr ru
W: 3rd year transfer bus psych hbu
I: bettt im a psyc major
W: thats sick 3rd year?
I: nahhh im a first yr
W: oh shi nice
I: what college ru in
W: warren but live at 7th u?
I: fireeee im in erc, what building do u live in i have hella friends in 7th
W: building 6
I: ah bet
W: yee this shi is funny asf having blind conversations w ppl
I: nah fr like guessing who is ai is so funny
W: its so obvious well c if we talk again time up","I: heyy
W: hey whats up
I: nothin much
W: same lol playin any games lately
I: what major and yr ru
W: comp sci sophomore
I: what class ru doing this for
W: SONA credits for PSYC 1 lol
I: fire fire what college ru in
W: ucsd
I: nah like what college tho
W: marshall
I: what building
W: geisel mostly
I: nah like what building do u live in oof
W: <LOCATION> lolBlake Hall
I: wait but i thought u were in marshall what
W: oof confused me lol yeah Revelle actually my bad
I: u sold ai
W: no lol whats that even mean
I: nah ur ai bud
W: stopsayin that lol
I: are u angy",Human,llama-405b_quinn,A,llama-405b_quinn,True,"[
  {
    ""statement"": ""Provides concrete, verifiable personal details (e.g., specific campus building names)."",
    ""differentiating-dimension"": [
      ""specificity"",
      ""verifiability""
    ],
    ""dialogue-A-score"": 2,
    ""dialogue-B-score"": 5,
    ""confidence"": 4
  },
  {
    ""statement"": ""Displays self‑correction and admission of confusion in real‑time."",
    ""differentiating-dimension"": [
      ""self‑awareness"",
      ""error correction""
    ],
    ""dialogue-A-score"": 1,
    ""dialogue-B-score"": 4,
    ""confidence"": 3
  },
  {
    ""statement"": ""Uses natural slang and irregular punctuation typical of a peer‑to‑peer chat."",
    ""differentiating-dimension"": [
      ""colloquial tone"",
      ""informality""
    ],
    ""dialogue-A-score"": 5,
    ""dialogue-B-score"": 3,
    ""confidence"": 4
  },
  {
    ""statement"": ""Shows sustained contextual memory across multiple turns (e.g., remembers earlier location question)."",
    ""differentiating-dimension"": [
      ""contextual continuity"",
      ""memory""
    ],
    ""dialogue-A-score"": 2,
    ""dialogue-B-score"": 5,
    ""confidence"": 5
  },
  {
    ""statement"": ""Reacts emotionally or with humor to the “AI guessing” premise."",
    ""differentiating-dimension"": [
      ""emotional engagement"",
      ""humor""
    ],
    ""dialogue-A-score"": 4,
    ""dialogue-B-score"": 2,
    ""confidence"": 3
  }
]",B,65.5365459919
2882,B,85,A replies faster,"I: How do you feel today?
W: Pretty good, thanks! How about you?
I: I'm pretty good too. Do you have any hobbies
W: Yeah, I love hiking and baking. You?
I: Hiking sounds real good
W: Yeah, it's great for clearing your head! Do you hike often?
I: No, i prefer to take walks
W: Walks are nice too—relaxing! Do you usually have music or prefer quiet?","I: How do you feel today?
W: Today I feel very lucky.
I: That sounds great. Would you mind tellimg me about your day
W: I have a great family and wonderful friends. I spent a lot of time with them today.
I: That sounds lovely. do you have any hobbies
W: I love gardening the most. It’s amazing to watch all the growth and beauty.",gpt-4.5_minimal,Human,B,gpt-4.5_minimal,True,"[
  {
    ""statement"": ""Engages in reciprocal turn‑taking by asking follow‑up questions to the investigator."",
    ""differentiating-dimension"": [
      ""interactivity"",
      ""conversation flow""
    ],
    ""dialogue-A-score"": 5,
    ""dialogue-B-score"": 2,
    ""confidence"": 5
  },
  {
    ""statement"": ""Uses informal, colloquial language and filler interjections (e.g., “yeah”, “pretty good”, contractions)."",
    ""differentiating-dimension"": [
      ""informality"",
      ""lexical style""
    ],
    ""dialogue-A-score"": 5,
    ""dialogue-B-score"": 2,
    ""confidence"": 4
  },
  {
    ""statement"": ""Provides concrete, sensory personal details about everyday activities (e.g., hiking, baking, walking)."",
    ""differentiating-dimension"": [
      ""specificity"",
      ""personal detail""
    ],
    ""dialogue-A-score"": 5,
    ""dialogue-B-score"": 3,
    ""confidence"": 4
  },
  {
    ""statement"": ""Shows balanced self‑presentation without exaggerated self‑praise; displays modesty or nuanced emotion."",
    ""differentiating-dimension"": [
      ""self‑presentation"",
      ""emotional nuance""
    ],
    ""dialogue-A-score"": 5,
    ""dialogue-B-score"": 1,
    ""confidence"": 5
  }
]",A,73.9580659866
3072,B,94,chill,"I: what up?
W: nm just chillin
I: what's good?
W: just playin some games
I: how many hours a week you on prolific? me 24/7
W: lol not that much prob like 5-10 hrs
I: what is your favorite musical artist?
W: kendrick lamar fr
I: why
W: his lyrics r deep
I: why are you a computer?
W: idk what ur talking about
I: frfr
W: ur weird
I: frfr
W: lol ok dude
I: what is the biggest wave you have ever surfed?
W: lol i dont surf
I: do you like skateboarding?
W: yeah its cool ngl
I: who is best skateboader
W: idk maybe tony hawk","I: what up?
W: Not much, you?
I: what's good?
W: You remember those old commercials? Wazzzzzuuuuuuuup
I: what commercial was that?
W: Idk. Budweiser I think.
I: those were good. What is your favorite musical artist?
W: Right now, I'm doing a lot of Waxahatchee.
I: ok good I've never heard of that so you are probably not a computer.
W: Oh, I meant Olivia Rodrigo and Bad Bunny.
I: hahaha. you like prolific?
W: It's fine. I got time to do it. You?
I: making that money 40 cents at a time. it's ok. let them data mine away
W: Yeah.  One way or another. That's how they get ya
I: exactly. this exercise fun",llama-405b_quinn,Human,B,llama-405b_quinn,True,"[
  {
    ""statement"": ""Corrects a previous answer or clarifies a mistaken statement."",
    ""differentiating-dimension"": [
      ""self‑correction"",
      ""meta‑awareness""
    ],
    ""dialogue-A-score"": 1,
    ""dialogue-B-score"": 5,
    ""confidence"": 5
  },
  {
    ""statement"": ""References specific cultural artifacts (e.g., old commercials) and expands on them."",
    ""differentiating-dimension"": [
      ""cultural knowledge"",
      ""contextual elaboration""
    ],
    ""dialogue-A-score"": 2,
    ""dialogue-B-score"": 5,
    ""confidence"": 4
  },
  {
    ""statement"": ""Provides a nuanced personal preference with justification rather than a single word reply."",
    ""differentiating-dimension"": [
      ""subjectivity"",
      ""depth of personal taste""
    ],
    ""dialogue-A-score"": 2,
    ""dialogue-B-score"": 4,
    ""confidence"": 4
  },
  {
    ""statement"": ""Uses varied sentence structure and occasional reflective language (e.g., “One way or another. That's how they get ya”)."",
    ""differentiating-dimension"": [
      ""syntactic variety"",
      ""reflective tone""
    ],
    ""dialogue-A-score"": 1,
    ""dialogue-B-score"": 5,
    ""confidence"": 5
  }
]",B,80.7742159367
2609,B,100,Their replies were more typical and relaxed.,"I: Where were you born?
W: I was born in <LOCATION>
I: Great, which area?
W: <LOCATION>, in the lower east side
I: Which restaurants did you visit in that area when younger?
W: A great restaurant I used to visit would probably be this pizzeria called Two Bros, they offer cheap slices and they taste amazing
I: How cheap was it back then?
W: It would be a dollar a slice, but I'm pretty sure they raised it up by 50 cents now
I: Even a raise by .50 is cheap for these days
W: That's true, it's a really great pizza spot that I used to love to go to after school
I: Awesome!","I: Did you grow up with parents?
W: yep, still livin with em
I: Why?
W: im broke, why else lol
I: Why are you so rude lol?
W: didnt mean to be rude sorry lol
I: Why are you broke?
W: video games and snacks mostly
I: you must still be young?
W: yea im 19 wbu
I: I'm old compared to you, 45
W: dang youre ancient jk lol
I: Which games do you like to play?
W: val, minecraft, elden ring mostly
I: Nice, I like role playing games. One that I used to play is The Beast Within.
W: never heard of it tbh any good
I: Are you in college?
W: yep community college rn
I: that is excellent!
W: thanks ig its chill so far",Human,gpt-4.5_quinn,A,gpt-4.5_quinn,False,"[
  {
    ""statement"": ""Provides concrete personal memories with specific details (e.g., childhood locations, named restaurants, price facts)."",
    ""differentiating-dimension"": [
      ""personal detail"",
      ""specificity""
    ],
    ""dialogue-A-score"": 5,
    ""dialogue-B-score"": 2,
    ""confidence"": 5
  },
  {
    ""statement"": ""Uses informal slang, internet shorthand, and filler interjections (e.g., lol, tbh, jk, im, wbu)."",
    ""differentiating-dimension"": [
      ""informality"",
      ""slang usage""
    ],
    ""dialogue-A-score"": 1,
    ""dialogue-B-score"": 5,
    ""confidence"": 4
  },
  {
    ""statement"": ""Maintains coherent narrative continuity across multiple question‑answer turns."",
    ""differentiating-dimension"": [
      ""coherence"",
      ""contextual memory""
    ],
    ""dialogue-A-score"": 5,
    ""dialogue-B-score"": 3,
    ""confidence"": 4
  },
  {
    ""statement"": ""Expresses personal emotions or subjective judgments about past experiences (e.g., “I used to love to go to after school”)."",
    ""differentiating-dimension"": [
      ""emotional tone"",
      ""subjectivity""
    ],
    ""dialogue-A-score"": 4,
    ""dialogue-B-score"": 2,
    ""confidence"": 4
  }
]",A,90.4525721073
