dialogue_id,conversation_transcript,label
0,"I: hello , how are you doing tonight ?
W: i am well an loving this interaction how are you ?
I: i am great . i just got back from the club .
W: this is my favorite time of the year season wise
I: i would rather eat chocolate cake during this season .
W: what club did you go to ? me an timothy watched tv
I: i went to club chino . what show are you watching ?
W: lol oh okay kind of random
I: do you live in a house or apartment ?
W: we watched a show about animals like him
I: i love those shows . i am really craving cake .
W: why does that matter any ? i went outdoors to play frisbee
I: it matters because i have a sweet tooth .
W: so ? lol i want to meet my family at home in bora
I: my family lives in alaska . it is freezing down there .
W: i bet it is oh i could not
",1
1,"I: how are you ? being an old man , i am slowing down these days
W: hi , my dad is old as well , they live close to me and i see them often
I: that is a great thing honor your dad with your presence
W: sure , i pick him up for church every sunday with my ford pickup
I: sounds wonderful my wheelchair can go very fast on various terrains
W: i guess that means you do not go hunting often ? i love hunting , i own 3 guns
I: hunting ? i served in the marines , yes i hunt
W: yeah me too , i am conservative so i love church and hunting
I: what do you like to hunt ? do you ever fish ?
W: fishing is good . i love fishing as well
I: fishing is a better choice sometimes for my one leg
W: yes that must be hard , i hope things get better for you
I: i enjoy life , it is what it is these days .
W: yes i agree . i try to enjoy life too , whenever i am not working
I: well , you better enjoying working so you can enjoy more of your time .
W: yeah but i go to church every sunday so my weekends are usually booked
",1
2,"I: hey , are you a student , i traveled a lot , i even studied abroad
W: no , i work full time at a nursing home . i am a nurses aide .
I: nice , i just got a advertising job myself . do you like your job ?
W: nice . yes i do . caring for people is the joy of my life .
I: nice my best friend is a nurse , i knew him since kindergarten
W: very cool . do you have pets ?
I: no i do not , do you ?
W: yes . two dogs and a cat . they are my babies .
I: nice , where do you live ? i resign in north dakota
W: i live in texas . i love riding my bike here .
I: are you a christian ? i am jewish
W: yes i am . i have always been a christian .
I: i am jewish but i am not religious all that much
W: oh really ? so you do not go to church often ?
I: i mostly go to the mosque on my free time
W: i see . that is very cool . i enjoy hearing about other practices .
",1
3,"I: hi want to get to know each other ?
W: yes we got to act quickly
I: i am going for a horse ride tomorrow . do you like horses ?
W: i never have juice , just water .
I: is that hard for you ? i love sugar
W: yes i do i work on the baby floor an i want no kids lol
I: i am looking forward to retirement
W: no it is easy especially being single an i like it
I: well i have some heath issues , maybe i will try it
W: i do get it i do
I: will water help my circulation . i have an achy leg
W: yes get on it now
I: i will thank you for the advice
W: anytime are you okay now ?
I: yeah . it does not hurt oo bad . i still ride
W: do you where do you go ?
",1
4,"I: hey there . how are you ?
W: good , do you like animals ?
I: yeah , i like cats . i have one .
W: i have 2 dogs , they are great , where do you work ?
I: i stay at home with the kids .
W: are you afraid of heights ? i certainly am
I: no . do you like tv ?
W: sure i like tv , what do you watch ?
I: really anything , what about you ?
W: i do not have time to watch tv , i am an attorney so i work alot
I: i am not a very active person .
W: i certainly am , i am part native american , i live here in oklahoma
I: oh . tell me something about yourself .
W: well i do not like heights very much and i love animals . what about you ?
I: i am a boring person .
W: i am not much fun either . so what else is new with you ?
",1
5,"I: hi how are you doing
W: i am well . how about you ?
I: i am good getting ready for work
W: me too . what do you do for a living ?
I: i am a lawyer long hours
W: i get that ! i am a doctor . pediatrics to be exact . do anything for fun ?
I: i like to go running with my dogs
W: me too ! well , i do not have any dogs , but i run everyday !
I: its such a great way to exercise and spend time outside
W: yes , it helps me clear my mind . i also love to read to escape reality sometimes too
I: yeah ! what state do you live in
W: california . where do you live ?
I: oklahoma nice and flat i do not like heights
W: lol . i am scared of heights too . do you like to listen to music ?
I: yeah what are you listening to right now
W: jazz . i love the smooth tunes !
",1
6,"I: hi , do you have sons ? i have two .
W: a younger brother and no children is all . besides dad
I: i will be in a school of hairdresser , i also own a fish aquarium
W: really . fish raw is my meal . what kind of fish ?
I: i love exotic fish , you have a nice family .
W: my family is nice . we spend time at the weight room a lot
I: i love the 1950 era and the decorations of that era
W: we work out to hip hop artists and i love the 1990 era
I: it is a nice family event and healthy too
W: yes it is . i cherish those moments .
I: you are so much younger than me
W: am i how much younger ? how old are you ?
I: i bet you do not eat granola in the morning
W: no i do not . only fruit and coconut juice . also , water and supplements
I: i eat that daily younger folks can not stand it
W: that is what is good for the body and spirit .
",1
7,"I: my mom had me in mcdonald bathroom when she was 12
W: that is really sad . do you have any siblings
I: no . my uncle is the manager and took me home .
W: that was nice of him . i am almost done with college
I: he gave me a job at mcdonalds . i was considering college but i am good now .
W: i am almost done i only have two years left in law school .
I: you be smart . i would like to do something different but i team leader now .
W: that sounds important . maybe one day you will go back to school
I: i dropped out to work . maybe you can help me sure my mom for abandoning me ?
W: i do not know if we would be able to do anything because is has been so long
I: oh i am only 15 right now . is that too old ?
W: do not you have to be older than 15 to work at mcdonalds ? that sounds illegal
I: nah i do homeschool . uncle figured out how to make me work and takes the money .
W: that is horrible and verry illegal
I: really ? i am so glad i found you to help me .
W: i would love to help . i am not able to practice yet though
",1
8,"I: hi there , how are you tonight ?
W: great , i just finished a huge steak how are you ?
I: i am good , drinking some scotch .
W: i am major meat eater to build muscles
I: oh , i like meat ok .
W: scotch goes good with meat
I: scotch goes good with anything lol .
W: i have a brother who likes scotch
I: i am an only child .
W: i have just the one brother and 3 sisters
I: do you have any pets ? i am scared of dogs .
W: i have a cat and a dog you would not be scared of my dog
I: what do you do for a living ?
W: i am a secretary like my mom hard living and you ?
I: i am an author . i write short stories .
W: do you want to write a story about a major meat eating bodybuilder ?
",1
9,"I: how are you tonight , i just got back from hiking .
W: i am great ! that is cool , i just got home from hunting .
I: so we both like outdoors , i am in ohio .
W: i do like the outdoors . . . as well as restoring classic cars . i am in missouri .
I: when i am not in my office doing accounting , i am with my 2 boys .
W: that is good . i work as a handyman for a company that rents properties .
I: i wish i was handy , being a single mom and all .
W: i am a single parent as well . just me and my baby girl .
I: i would love a baby girl , it must be fun to go shopping ?
W: it is fun to go shopping for her
I: do you buy a lot of girl things , or more neutral ?
W: she happens to like pink a lot . . .
I: i like lavender , but the boys not so much .
W: lol . i have bought neutral colored items for her but she likes girly clothes .
",1
