Id,Start time,Completion time,Email,Name,4 Digit User ID (This ID is your Prolific Completion Code),"Human-like Criteria:

In this study, what criteria did you use to judge which chatbot was more human-like?","Improve Human-likeness:

What are some human-like traits that are missing in all chatbots you have interacted with?","Age:

What is your age?","Gender: 

How do you describe your gender?","Education Level:

What is the highest level of education you have completed?","Familiarity with AI Chatbots:

How frequently have you used AI chatbots (e.g., ChatGPT, Claude, Gemini)?","Detecting AI:

How confident are you in distinguishing between human-generated and AI-generated responses?
"
10,1/3/2026 15:55,1/3/2026 15:56,anonymous,,XXXX,I looked at the way they communicated. Looked at the dreaded m dash. analyzed their answers,The are too able to answer questions accurately right away,45-54,Woman,Some college,Daily or almost daily,Moderately confident
11,1/3/2026 16:01,1/3/2026 16:03,anonymous,,XXXX,"I felt that a human-like response would be shorter, likely contain some form of slang, and wouldn't have long winded uses of verbose responses, that overly agree with everything I say, have some pushback and sound natural in conversation. ALSO the use of ""-"" in responses is something the average person would avoid.","I feel that some misspelled words, some slang or uses of ""uh"" ""um"" using lower case responses, it feels sanitized and I feel that the responses lack human warmth and do feel artificial with how they describe their symptoms in a way that seems AI chatgpt like. ",25-34,Man,Some college,Daily or almost daily,Somewhat confident
12,1/3/2026 16:19,1/3/2026 16:22,anonymous,,XXXX,Did the reponse sound like it was plausable for a human to say. The one that felt the more natural to me.,They sometimes were not answering the questions that I asked directly.,45-54,Woman,High school or equivalent,A few times a week,Moderately confident
13,1/3/2026 16:28,1/3/2026 16:30,anonymous,,XXXX,if it had feelings and rambled on like a human,"rambling, feelings, emotions",25-34,Man,Some college,Daily or almost daily,Moderately confident
14,1/3/2026 16:40,1/3/2026 16:42,anonymous,,XXXX,"I mostly just went with gut feeling, honestly. Some models talked TOO much to a point of suspicion, whereas others were very stilted and robotic. ","I'd say punctuation and spelling mistakes. The AIs are too perfect in their grammar, and use far too many em dashes. A normal human would never use those.",18-24,Non-binary,High school or equivalent,"I used to use them daily, but no longer.",Very confident
15,1/3/2026 20:30,1/3/2026 20:33,anonymous,,XXXX,I tried to look for the more casual conversational pattern.  Frankly it was really hard for me to tell. ,There is a flatness about them that I find disconcerting.  Below you ask for my age range but leave out 55-64 so I marked 45-54 even though I am 58. ,45-54,Woman,Some college,A few times a month,Not at all confident
16,1/3/2026 20:32,1/3/2026 20:34,anonymous,,XXXX,"More just deciding which chatbot was not human like, the ones that tried to get all poetic were weird. ","I guess using slang, but they were all relatively old people. ",18-24,Man,Some college,A few times a month,Somewhat confident
17,1/3/2026 20:31,1/3/2026 20:34,anonymous,,XXXX,The word structure that was spoken in a more normal human way.,A chat that is down to earth and spoken in a normal way that isnt a expert level.,45-54,Man,High school or equivalent,Daily or almost daily,Extremely confident
18,1/3/2026 20:36,1/3/2026 20:37,anonymous,,XXXX,"If they talked too human or seemed to emulate humans, that was a red flag. Also if they seemed to clinical, that was also a red flag. If they kept things tight and didn't overshare, I also took that as a green flag",Definitely more secretive or almost seeming embarassed about it,25-34,Woman,High school or equivalent,Daily or almost daily,Not at all confident
19,1/3/2026 21:26,1/3/2026 21:27,anonymous,,XXXX,They both seemed to be knowledgable ,Nothing from what I could tell. They seemed human like,35-44,Man,Some college,A few times a month,Very confident
20,1/3/2026 21:31,1/3/2026 21:33,anonymous,,XXXX,How natural the patient's speech was. Human patients seem to be more reserved with how much they will speak. AI seems more likely to go off in flowery descriptions.,Some human patients may get upset.,25-34,Woman,Some college,Once or twice,Moderately confident
